id,title,body,rating,state,customer_id,book_id,created_at,updated_at
11,Squid waistcoat bitters selvage wayfarers marfa semiotics gastropub kinfolk.,Mlkshk meditation gluten-free. Farm-to-table gastropub hammock williamsburg tofu cray gentrify mixtape. Umami retro celiac green juice whatever. Freegan vinyl loko deep v.,3,1,11,2,2019-01-24 12:10:28.192237,2019-01-24 12:10:28.192237
12,Quinoa aesthetic readymade wolf next level kogi squid.,Tofu tilde cred banh mi keytar cold-pressed kale chips. Stumptown next level squid post-ironic messenger bag. Messenger bag yr selvage austin meditation banjo try-hard. Blog quinoa mumblecore pinterest.,2,0,5,5,2019-01-24 12:10:28.194462,2019-01-24 12:10:28.194462
13,Xoxo jean shorts post-ironic kinfolk ennui wes anderson crucifix.,Lomo franzen synth intelligentsia everyday. Blog semiotics hammock cleanse. Bicycle rights chartreuse goth listicle vice.,5,0,13,9,2019-01-24 12:10:28.196729,2019-01-24 12:10:28.196729
14,You probably haven't heard of them listicle ethical fashion axe trust fund.,Intelligentsia 3 wolf moon tumblr etsy fanny pack. Helvetica post-ironic kogi flannel. Brooklyn flexitarian next level post-ironic roof yuccie. Plaid lomo art party paleo. Xoxo venmo tofu ugh locavore kombucha.,2,1,13,18,2019-01-24 12:10:28.199128,2019-01-24 12:10:28.199128
15,Ugh chicharrones asymmetrical farm-to-table actually.,Migas five dollar toast waistcoat crucifix trust fund cronut. Post-ironic church-key diy tofu. Pour-over plaid tofu franzen chicharrones swag. Occupy truffaut ugh migas venmo tacos. Vhs normcore helvetica.,1,1,14,11,2019-01-24 12:10:28.201870,2019-01-24 12:10:28.201870
16,Brunch tilde carry slow-carb photo booth flexitarian mumblecore.,Muggle magic knausgaard normcore pbr&b. Seitan tilde cred wolf readymade 8-bit. Selfies actually craft beer drinking poutine goth gentrify. Actually yuccie sriracha.,4,1,6,1,2019-01-24 12:10:28.204265,2019-01-24 12:10:28.204265
17,Cliche helvetica bushwick normcore direct trade.,Vhs phlogiston five dollar toast fashion axe freegan photo booth bushwick kinfolk. Shoreditch fingerstache franzen etsy marfa church-key plaid slow-carb. Intelligentsia ennui flannel ethical. Master blog typewriter shabby chic. Cred 3 wolf moon locavore bespoke portland jean shorts pinterest.,5,0,10,7,2019-01-24 12:10:28.206537,2019-01-24 12:10:28.206537
18,Pbr&b kale chips small batch occupy aesthetic fixie everyday.,Whatever yr swag cred humblebrag vice. Shabby chic crucifix synth dreamcatcher bicycle rights flexitarian. Offal yolo artisan.,3,1,11,18,2019-01-24 12:10:28.208795,2019-01-24 12:10:28.208795
19,Slow-carb bitters tattooed listicle pinterest.,Listicle vinegar cardigan yr kickstarter chicharrones. Xoxo migas wolf freegan. Food truck 90's kickstarter art party. Selvage pinterest small batch before they sold out leggings pop-up. Yr xoxo +1 small batch brunch.,1,1,14,6,2019-01-24 12:10:28.211165,2019-01-24 12:10:28.211165
20,Umami kitsch scenester kale chips vegan shoreditch brooklyn selfies.,Tacos tofu irony bitters lo-fi. Craft beer iphone pop-up messenger bag heirloom synth. Ethical meh chartreuse schlitz venmo. Disrupt locavore sartorial typewriter kickstarter artisan.,4,2,5,9,2019-01-24 12:10:28.213833,2019-01-24 12:10:28.213833
21,Master jean shorts forage bespoke.,Wolf fanny pack tattooed migas hammock lo-fi pickled chillwave. Polaroid waistcoat banjo. Viral hoodie cardigan hashtag meditation. Vegan artisan offal. Banjo muggle magic gentrify kogi vegan.,1,0,13,9,2019-01-24 12:10:28.216173,2019-01-24 12:10:28.216173
22,Xoxo twee chartreuse tattooed tote bag kitsch.,Actually locavore chartreuse cold-pressed ethical scenester hoodie. Brooklyn vinegar selvage hashtag tacos. Tumblr chillwave chambray single-origin coffee shoreditch mustache cardigan ugh. Sartorial photo booth xoxo green juice listicle. Chillwave small batch tousled green juice park tacos.,1,2,10,9,2019-01-24 12:10:28.218393,2019-01-24 12:10:28.218393
23,Ennui seitan pabst park intelligentsia mixtape banjo jean shorts thundercats.,Art party celiac etsy tattooed. Irony meditation bespoke wes anderson 8-bit occupy lomo. Fashion axe butcher everyday paleo kogi seitan wes anderson hashtag. Cornhole swag muggle magic organic wayfarers lomo. Whatever cornhole pinterest gluten-free ramps +1 fingerstache.,2,0,10,11,2019-01-24 12:10:28.221016,2019-01-24 12:10:28.221016
24,8-bit twee hammock muggle magic.,Truffaut locavore art party. Tumblr blog asymmetrical wolf mlkshk williamsburg scenester fanny pack. Truffaut you probably haven't heard of them knausgaard squid pop-up meggings flannel cronut.,5,1,7,13,2019-01-24 12:10:28.223203,2019-01-24 12:10:28.223203
25,Tacos direct trade selvage chia sartorial.,+1 keffiyeh iphone umami pork belly. Readymade yolo helvetica. Blog wolf humblebrag paleo neutra. Forage cleanse pour-over selfies wolf jean shorts readymade. Hammock microdosing lo-fi.,4,1,10,13,2019-01-24 12:10:28.225681,2019-01-24 12:10:28.225681
26,Forage cronut post-ironic hashtag bespoke tacos.,Street craft beer 90's godard keffiyeh salvia master. Plaid fanny pack loko messenger bag literally sriracha. Sartorial narwhal street disrupt truffaut.,4,1,4,12,2019-01-24 12:10:28.227878,2019-01-24 12:10:28.227878
27,Muggle magic disrupt pbr&b narwhal humblebrag helvetica direct trade literally.,Pour-over try-hard ramps street. Williamsburg art party single-origin coffee. Squid intelligentsia bespoke pbr&b. Twee lumbersexual narwhal tote bag kogi authentic tacos. Pitchfork plaid blog.,4,1,14,9,2019-01-24 12:10:28.230228,2019-01-24 12:10:28.230228
28,You probably haven't heard of them shabby chic vhs tumblr gluten-free polaroid photo booth park hella.,Godard art party wes anderson xoxo church-key fashion axe yuccie vice. 8-bit normcore ugh vinegar pitchfork art party. Cred locavore fingerstache messenger bag salvia.,2,0,6,12,2019-01-24 12:10:28.232597,2019-01-24 12:10:28.232597
29,Vinyl umami tote bag gluten-free.,Single-origin coffee echo goth fingerstache. Godard kitsch truffaut shabby chic tumblr. Jean shorts tacos offal.,1,1,8,18,2019-01-24 12:10:28.234982,2019-01-24 12:10:28.234982
30,Sustainable twee scenester mlkshk craft beer hella meggings 90's pitchfork.,Blue bottle knausgaard cleanse pug try-hard. Schlitz flexitarian deep v. Try-hard intelligentsia pinterest post-ironic direct trade.,1,1,4,18,2019-01-24 12:10:28.237527,2019-01-24 12:10:28.237527
31,Thundercats locavore selvage wayfarers chartreuse put a bird on it small batch food truck park.,Asymmetrical fingerstache cornhole wes anderson fanny pack master craft beer neutra. Biodiesel cardigan single-origin coffee fashion axe. Direct trade cred fashion axe bicycle rights mumblecore raw denim vinegar hammock. Offal pbr&b kale chips swag church-key. Kinfolk xoxo kickstarter normcore blue bottle whatever bushwick bespoke.,2,0,1,4,2019-01-24 12:10:28.239860,2019-01-24 12:10:28.239860
32,Food truck thundercats pop-up sustainable pork belly vegan.,Distillery irony chartreuse listicle banh mi microdosing synth. Chambray hammock +1 waistcoat. Sartorial 3 wolf moon paleo. Chambray wayfarers you probably haven't heard of them park.,4,0,5,3,2019-01-24 12:10:28.241964,2019-01-24 12:10:28.241964
33,Fixie wayfarers bushwick five dollar toast celiac.,Art party crucifix helvetica quinoa whatever kitsch stumptown trust fund. Flexitarian polaroid pinterest. Paleo kitsch single-origin coffee blog poutine retro.,4,1,3,2,2019-01-24 12:10:28.244077,2019-01-24 12:10:28.244077
34,Selvage loko pitchfork chicharrones meggings narwhal irony meh.,Sustainable quinoa bicycle rights organic occupy. Tumblr chicharrones plaid shabby chic. Hella microdosing forage sartorial cronut. Salvia loko vice tumblr biodiesel hammock hoodie.,4,2,6,3,2019-01-24 12:10:28.246197,2019-01-24 12:10:28.246197
35,Vinegar whatever asymmetrical ugh 8-bit tacos bushwick.,Waistcoat butcher cliche kitsch photo booth. Wolf everyday pabst cronut brunch tousled. Before they sold out flannel wolf slow-carb kitsch umami retro. Fixie 90's echo messenger bag. Bushwick echo tofu diy cliche.,5,1,2,7,2019-01-24 12:10:28.248343,2019-01-24 12:10:28.248343
36,Craft beer single-origin coffee austin offal yuccie schlitz kinfolk.,Listicle keytar quinoa church-key godard chia. Godard deep v wes anderson meh aesthetic readymade chillwave pickled. Single-origin coffee chillwave craft beer freegan vice tilde kogi. Taxidermy kinfolk shoreditch kitsch.,5,2,5,17,2019-01-24 12:10:28.250513,2019-01-24 12:10:28.250513
37,Meditation mumblecore disrupt twee yr banjo chambray.,+1 skateboard kitsch vinegar plaid brooklyn austin. Tacos park distillery gluten-free. Cray butcher farm-to-table 8-bit hashtag before they sold out dreamcatcher goth. Chia wayfarers occupy irony muggle magic heirloom normcore celiac. Bicycle rights plaid literally put a bird on it.,1,2,4,7,2019-01-24 12:10:28.252565,2019-01-24 12:10:28.252565
38,Mlkshk brooklyn helvetica vice cred celiac migas lomo.,Bespoke you probably haven't heard of them occupy listicle yr before they sold out. Williamsburg kogi thundercats pour-over yuccie tumblr. Swag disrupt listicle portland squid kombucha pour-over banjo.,3,1,4,8,2019-01-24 12:10:28.254714,2019-01-24 12:10:28.254714
39,Viral pug pinterest leggings.,Hammock gastropub echo slow-carb bitters. Skateboard readymade aesthetic retro. Shabby chic knausgaard keffiyeh swag seitan kale chips.,5,0,10,12,2019-01-24 12:10:28.256736,2019-01-24 12:10:28.256736
40,Cleanse lumbersexual ramps drinking farm-to-table tote bag cornhole marfa thundercats.,Letterpress tumblr direct trade drinking. Kale chips brooklyn mustache raw denim plaid wayfarers disrupt. Stumptown venmo keffiyeh. Heirloom viral tousled yolo pork belly keffiyeh. Microdosing bushwick helvetica bitters lo-fi poutine truffaut sartorial.,5,1,5,6,2019-01-24 12:10:28.259000,2019-01-24 12:10:28.259000
41,Bespoke yolo dreamcatcher cray etsy organic hella squid intelligentsia.,Pug godard bicycle rights vinegar tumblr. Green juice ugh knausgaard plaid messenger bag thundercats gentrify park. Single-origin coffee marfa microdosing muggle magic 3 wolf moon humblebrag polaroid. Kinfolk franzen messenger bag. Jean shorts marfa goth mustache park butcher polaroid xoxo.,1,1,2,9,2019-01-24 12:10:28.261207,2019-01-24 12:10:28.261207
42,Diy single-origin coffee williamsburg literally gentrify 8-bit pinterest +1.,Small batch swag hoodie xoxo locavore cred. Etsy banjo small batch cray austin sriracha. Echo kombucha chicharrones farm-to-table austin sustainable retro microdosing. Cornhole banjo messenger bag meditation park deep v tousled 3 wolf moon.,2,1,3,3,2019-01-24 12:10:28.263381,2019-01-24 12:10:28.263381
43,Jean shorts mixtape carry artisan wayfarers marfa before they sold out occupy.,Vinyl helvetica pug. Vinegar phlogiston quinoa williamsburg selvage bitters. Pork belly pabst truffaut gastropub master vice fixie.,4,2,6,6,2019-01-24 12:10:28.265343,2019-01-24 12:10:28.265343
44,Whatever park distillery vegan taxidermy normcore slow-carb cardigan drinking.,Pabst chillwave dreamcatcher fingerstache taxidermy yr hashtag. Retro selfies paleo artisan lomo butcher chambray kale chips. Etsy waistcoat wolf. Brunch pbr&b tumblr kogi goth fanny pack kitsch echo. Cold-pressed raw denim bicycle rights swag waistcoat.,2,1,2,16,2019-01-24 12:10:28.267387,2019-01-24 12:10:28.267387
45,Stumptown chartreuse +1 polaroid gentrify.,Forage cronut distillery. 3 wolf moon portland shabby chic stumptown artisan bespoke before they sold out. Keytar intelligentsia offal drinking hoodie muggle magic lumbersexual. Listicle raw denim cliche franzen vice five dollar toast plaid taxidermy. Tote bag fanny pack yuccie.,3,0,6,18,2019-01-24 12:10:28.269496,2019-01-24 12:10:28.269496
46,Letterpress hashtag food truck lo-fi messenger bag iphone fingerstache chartreuse roof.,Williamsburg cred vhs kombucha poutine. Meditation vhs chicharrones knausgaard church-key muggle magic. Master beard deep v mumblecore tousled art party.,1,2,1,10,2019-01-24 12:10:28.271619,2019-01-24 12:10:28.271619
47,Yr bicycle rights yolo you probably haven't heard of them stumptown whatever.,Poutine banjo vice vinegar sartorial salvia mumblecore tousled. Leggings whatever hoodie gluten-free readymade truffaut. Fanny pack iphone dreamcatcher occupy salvia pug. Gluten-free twee neutra irony kale chips messenger bag master biodiesel.,4,2,3,14,2019-01-24 12:10:28.274138,2019-01-24 12:10:28.274138
48,Cardigan selvage ramps pitchfork flannel.,Kale chips pabst kogi neutra drinking. Echo roof vegan gentrify master stumptown shabby chic. Pork belly keffiyeh fashion axe quinoa vice street.,3,0,11,17,2019-01-24 12:10:28.276398,2019-01-24 12:10:28.276398
49,Brooklyn yr fashion axe artisan hoodie bushwick.,Truffaut food truck pitchfork skateboard squid kickstarter. Iphone mumblecore roof lomo. Banh mi shoreditch pop-up.,3,0,14,5,2019-01-24 12:10:28.278642,2019-01-24 12:10:28.278642
50,Schlitz offal chambray tattooed.,Cliche bitters trust fund venmo twee church-key. 90's asymmetrical sriracha paleo. Raw denim cleanse muggle magic.,2,1,9,1,2019-01-24 12:10:28.280749,2019-01-24 12:10:28.280749
51,Direct trade kitsch organic muggle magic twee freegan.,Flannel direct trade mumblecore carry cred portland. Ugh umami semiotics mixtape gluten-free marfa. Lo-fi muggle magic actually mlkshk typewriter lomo master. Green juice swag blog.,2,2,7,6,2019-01-24 12:10:28.283675,2019-01-24 12:10:28.283675
52,Craft beer gastropub yolo listicle gentrify diy meh.,Cred salvia pinterest whatever chillwave pitchfork retro. Loko leggings vhs hammock. Gluten-free cleanse xoxo five dollar toast.,2,2,7,8,2019-01-24 12:10:28.285821,2019-01-24 12:10:28.285821
53,Iphone brunch lomo kinfolk polaroid gastropub.,Pinterest +1 park cronut literally. Intelligentsia portland bespoke sustainable cleanse lumbersexual 90's. Neutra hammock shabby chic diy bicycle rights brunch. Skateboard quinoa pour-over cred sriracha kombucha. Everyday before they sold out distillery venmo drinking aesthetic.,1,1,6,15,2019-01-24 12:10:28.289697,2019-01-24 12:10:28.289697
54,Small batch chia lo-fi pour-over.,Leggings ennui vinegar craft beer tousled. Yr retro direct trade tilde austin. Street kickstarter bicycle rights schlitz normcore chicharrones fixie. Williamsburg helvetica neutra bushwick taxidermy. Mixtape umami green juice.,1,0,11,16,2019-01-24 12:10:28.292757,2019-01-24 12:10:28.292757
55,Swag pork belly bespoke tattooed diy cliche bitters.,Kinfolk kickstarter disrupt tousled narwhal. Celiac vegan small batch crucifix. Farm-to-table heirloom street hammock. Authentic chartreuse cliche craft beer sustainable blue bottle. Marfa chicharrones deep v gastropub austin ramps.,4,1,7,16,2019-01-24 12:10:28.295764,2019-01-24 12:10:28.295764
56,Kinfolk plaid mustache raw denim.,Sustainable roof tote bag everyday. Flannel knausgaard park keffiyeh. Carry austin kale chips hella.,5,0,10,16,2019-01-24 12:10:28.297950,2019-01-24 12:10:28.297950
57,Master retro forage +1 twee irony viral farm-to-table kombucha.,Mustache forage carry butcher five dollar toast bitters. Brooklyn lo-fi cornhole wes anderson street paleo small batch. Umami blue bottle narwhal craft beer mustache health +1 aesthetic.,4,2,7,1,2019-01-24 12:10:28.300054,2019-01-24 12:10:28.300054
58,Master cardigan retro pbr&b.,Lumbersexual health letterpress freegan salvia schlitz pinterest. Put a bird on it pbr&b vinegar yuccie tumblr. Quinoa retro narwhal tote bag.,5,0,10,12,2019-01-24 12:10:28.302139,2019-01-24 12:10:28.302139
59,Waistcoat letterpress chillwave fanny pack tumblr blog knausgaard locavore.,Locavore venmo banjo portland xoxo viral kinfolk. Williamsburg banjo muggle magic goth skateboard twee keytar. Gluten-free deep v tumblr kickstarter skateboard hoodie flannel.,3,2,14,6,2019-01-24 12:10:28.304241,2019-01-24 12:10:28.304241
60,Shabby chic jean shorts food truck post-ironic bitters swag marfa.,Twee cray kickstarter skateboard neutra five dollar toast try-hard. Venmo migas brooklyn banh mi cray. Post-ironic bicycle rights bushwick helvetica. Pickled +1 chillwave iphone.,4,1,3,11,2019-01-24 12:10:28.306600,2019-01-24 12:10:28.306600
61,Cleanse sartorial +1 offal brooklyn freegan polaroid.,Ramps semiotics drinking lo-fi raw denim scenester blue bottle occupy. Brunch pork belly forage polaroid meggings chambray. Schlitz quinoa hoodie salvia. Street fingerstache banh mi loko pour-over pork belly. Pitchfork mlkshk small batch.,3,2,13,5,2019-01-24 12:10:28.308743,2019-01-24 12:10:28.308743
62,Irony narwhal seitan carry tacos mumblecore retro.,Goth disrupt pour-over intelligentsia yr slow-carb church-key kogi. Ennui goth fashion axe post-ironic ramps letterpress. Austin food truck swag echo typewriter fixie green juice.,3,0,13,2,2019-01-24 12:10:28.310819,2019-01-24 12:10:28.310819
63,Leggings farm-to-table 90's kitsch ugh ethical actually kinfolk.,Bitters yolo pop-up tote bag brooklyn irony ramps leggings. Carry sriracha leggings ramps butcher tofu. Typewriter pop-up single-origin coffee beard.,1,0,14,1,2019-01-24 12:10:28.312903,2019-01-24 12:10:28.312903
64,Vegan banh mi meditation knausgaard pour-over vhs street pickled banjo.,Cred irony craft beer pop-up. Knausgaard 90's kinfolk. Dreamcatcher cronut vegan crucifix wayfarers. Art party letterpress schlitz. Pour-over phlogiston twee.,1,0,10,10,2019-01-24 12:10:28.315026,2019-01-24 12:10:28.315026
65,Farm-to-table freegan bicycle rights microdosing thundercats.,Readymade lumbersexual xoxo cardigan chicharrones distillery. Helvetica chia craft beer tilde neutra tattooed williamsburg cardigan. Synth authentic art party kinfolk.,3,2,3,13,2019-01-24 12:10:28.317379,2019-01-24 12:10:28.317379
66,Truffaut migas echo sustainable typewriter.,Authentic poutine swag. Bitters pour-over next level ramps semiotics meditation lo-fi phlogiston. Crucifix narwhal pinterest flannel vinyl. Whatever muggle magic 8-bit gastropub shabby chic offal ethical.,4,0,7,18,2019-01-24 12:10:28.319573,2019-01-24 12:10:28.319573
67,Etsy everyday distillery pork belly viral 90's.,90's kitsch gastropub. Iphone cliche slow-carb waistcoat health ugh fingerstache. Sustainable austin mustache normcore skateboard bicycle rights bespoke 3 wolf moon.,3,1,14,10,2019-01-24 12:10:28.321935,2019-01-24 12:10:28.321935
68,Mixtape carry cleanse waistcoat tofu sriracha.,Ramps pork belly poutine goth. Stumptown tumblr meditation retro distillery try-hard craft beer scenester. Brooklyn aesthetic vegan art party letterpress tote bag. Mixtape slow-carb ethical flexitarian butcher thundercats hella locavore. Kickstarter vinegar tofu flannel.,4,1,3,11,2019-01-24 12:10:28.324322,2019-01-24 12:10:28.324322
69,Chartreuse mumblecore irony scenester.,Mumblecore bespoke ugh brooklyn normcore authentic locavore banjo. Chia taxidermy beard. Ramps brooklyn intelligentsia 90's.,2,2,12,15,2019-01-24 12:10:28.326679,2019-01-24 12:10:28.326679
70,Shoreditch put a bird on it organic semiotics.,Bicycle rights cliche keytar jean shorts next level williamsburg waistcoat fanny pack. Photo booth vice vinyl artisan you probably haven't heard of them chartreuse hella. Vinegar listicle microdosing occupy.,1,2,7,7,2019-01-24 12:10:28.329257,2019-01-24 12:10:28.329257
71,Cold-pressed bespoke everyday helvetica.,Deep v squid pitchfork sustainable loko pug shoreditch. Fixie crucifix cronut lo-fi authentic blue bottle. Kale chips kombucha bitters poutine chia. Bushwick keffiyeh viral asymmetrical pabst seitan williamsburg slow-carb.,5,0,13,14,2019-01-24 12:10:28.331610,2019-01-24 12:10:28.331610
72,Semiotics hammock kombucha sriracha park tattooed.,Blog chambray loko stumptown austin pug. Pbr&b artisan ennui chicharrones messenger bag kitsch bespoke. Literally etsy vinyl brunch meditation mustache. Sartorial iphone brooklyn roof farm-to-table swag street.,3,0,14,17,2019-01-24 12:10:28.333797,2019-01-24 12:10:28.333797
73,Poutine xoxo semiotics asymmetrical goth yr.,Lomo irony farm-to-table xoxo bitters. Ugh williamsburg tilde loko. Kombucha vhs retro.,1,1,2,9,2019-01-24 12:10:28.335942,2019-01-24 12:10:28.335942
74,Twee locavore tilde post-ironic mlkshk shoreditch intelligentsia.,Drinking pork belly goth you probably haven't heard of them pabst raw denim seitan narwhal. Tacos flexitarian five dollar toast carry church-key wes anderson organic art party. Kickstarter biodiesel messenger bag thundercats tofu bushwick goth gastropub.,1,1,2,3,2019-01-24 12:10:28.338258,2019-01-24 12:10:28.338258
75,Ennui photo booth health chambray blue bottle direct trade roof.,Listicle 90's trust fund gastropub. Normcore umami thundercats put a bird on it heirloom wes anderson vinegar craft beer. Meditation craft beer sartorial biodiesel ugh gluten-free. Vhs leggings paleo.,5,2,8,18,2019-01-24 12:10:28.340581,2019-01-24 12:10:28.340581
76,Master meggings selvage put a bird on it umami narwhal leggings photo booth portland.,Marfa asymmetrical austin squid keffiyeh craft beer truffaut. Disrupt pug meggings chicharrones. Bicycle rights meggings pop-up. Vinyl humblebrag messenger bag. Bicycle rights sustainable next level whatever austin.,3,0,14,5,2019-01-24 12:10:28.342742,2019-01-24 12:10:28.342742
77,Listicle semiotics celiac lomo.,Jean shorts cronut meh. Flannel yolo pickled green juice drinking everyday. Park williamsburg retro before they sold out goth butcher typewriter. Truffaut drinking chicharrones.,3,0,14,3,2019-01-24 12:10:28.344938,2019-01-24 12:10:28.344938
78,Messenger bag umami lo-fi synth pitchfork tattooed.,Chambray try-hard squid taxidermy jean shorts tilde neutra. Pitchfork polaroid everyday. Ennui migas +1 tumblr mumblecore vice taxidermy.,2,0,4,4,2019-01-24 12:10:28.346990,2019-01-24 12:10:28.346990
79,Vinegar shoreditch literally kickstarter crucifix jean shorts disrupt.,Craft beer yr park. Gluten-free banh mi etsy xoxo. Thundercats +1 austin semiotics etsy cornhole kinfolk bicycle rights. Vice hammock actually kale chips shabby chic health brooklyn. Venmo brunch swag viral kale chips aesthetic health loko.,2,2,9,3,2019-01-24 12:10:28.349714,2019-01-24 12:10:28.349714
80,Seitan asymmetrical fanny pack distillery pour-over hoodie butcher knausgaard.,Phlogiston salvia cronut kinfolk disrupt. Sustainable asymmetrical butcher hella single-origin coffee try-hard. Banh mi chicharrones bushwick lumbersexual butcher whatever semiotics pop-up. Asymmetrical health dreamcatcher cold-pressed godard neutra. Locavore ugh actually church-key goth deep v.,3,2,10,12,2019-01-24 12:10:28.352536,2019-01-24 12:10:28.352536
81,Disrupt salvia kickstarter cornhole.,Migas sriracha banjo asymmetrical pinterest scenester flexitarian raw denim. Lumbersexual microdosing letterpress celiac pitchfork cleanse poutine. Cleanse tousled austin next level. Kickstarter keffiyeh phlogiston jean shorts retro artisan vinegar hammock.,2,1,10,10,2019-01-24 12:10:28.354998,2019-01-24 12:10:28.354998
82,Gastropub cred godard fanny pack.,Brunch fashion axe wolf microdosing distillery bushwick neutra. Shoreditch aesthetic readymade fashion axe. Chillwave brooklyn hammock messenger bag. Actually freegan whatever cliche wayfarers fingerstache.,1,2,5,13,2019-01-24 12:10:28.357822,2019-01-24 12:10:28.357822
83,Lo-fi 8-bit tattooed tumblr vhs.,Poutine pug tumblr bicycle rights wolf. Hoodie cred ugh salvia semiotics. Health migas actually put a bird on it pop-up trust fund.,5,2,6,16,2019-01-24 12:10:28.360793,2019-01-24 12:10:28.360793
84,Paleo pbr&b organic slow-carb cred roof squid neutra etsy.,Bushwick ugh pork belly semiotics. Five dollar toast farm-to-table scenester neutra. Kombucha mumblecore truffaut. Vinyl etsy pug. Williamsburg banjo tacos.,4,1,2,3,2019-01-24 12:10:28.363134,2019-01-24 12:10:28.363134
85,Scenester intelligentsia cred chia.,Fashion axe vhs mustache yr kitsch. Hella fanny pack synth shoreditch keffiyeh selvage migas. Actually umami lo-fi keytar direct trade blog.,2,0,1,3,2019-01-24 12:10:28.365262,2019-01-24 12:10:28.365262
86,Venmo skateboard cleanse disrupt tousled heirloom hashtag health narwhal.,Muggle magic +1 shabby chic salvia franzen. Fingerstache wayfarers phlogiston umami. Occupy tacos meditation vegan craft beer lomo. Readymade try-hard gluten-free. Raw denim disrupt deep v shoreditch.,5,2,14,2,2019-01-24 12:10:28.367389,2019-01-24 12:10:28.367389
87,Ennui lo-fi deep v etsy pop-up irony freegan pug.,Chillwave photo booth pinterest wolf ugh williamsburg blog. Dreamcatcher craft beer tofu. Semiotics dreamcatcher fashion axe chillwave direct trade. Bicycle rights xoxo wes anderson waistcoat post-ironic farm-to-table. Semiotics twee keytar.,2,2,8,12,2019-01-24 12:10:28.369592,2019-01-24 12:10:28.369592
88,Echo roof tacos yolo cronut vegan irony seitan sustainable.,Semiotics cray retro authentic gentrify. Aesthetic next level etsy austin wes anderson. Celiac fingerstache leggings vinyl literally stumptown tumblr 90's.,1,0,2,11,2019-01-24 12:10:28.371845,2019-01-24 12:10:28.371845
89,Portland kombucha tote bag readymade selvage post-ironic xoxo.,Knausgaard authentic banjo vhs. Vinyl aesthetic plaid irony master. Sartorial chartreuse dreamcatcher master bitters quinoa shoreditch. Cardigan park shabby chic wolf sustainable fashion axe.,2,0,9,18,2019-01-24 12:10:28.374181,2019-01-24 12:10:28.374181
